speaker,text,act,conv_id,topic,topic_ldaconv,topic_ldautt
0,I think you're right. /,29,0,32,71,-1
0,"Yes,  /",40,631,6,20,-1
0,# I don't either <laughter>. #  /,29,149,39,65,-1
1,"{F Uh, } {C and } if the parents do not care enough to take an interest in whether the homework is done --",35,937,17,20,-1
1,"{C So, } {F uh, } {E I mean, } you  can't believe what you hear. /",35,832,14,60,-1
0,"[ {C but, } + {C but }  ] every-, - /",32,1085,21,9,-1
0,"the trick [ is, +  is ] to have this blender,  /",8,828,53,2,-1
1,"I thought it was an advertisement and they just were also called T I, {D you know, }  /",8,715,31,44,-1
1,{D well } the same thing. /,35,1124,21,39,-1
1,"{F Uh, } uh-huh.  /",29,250,43,60,-1
1,# Uh-huh. # /,6,664,39,35,-1
1,"Yeah,  /",40,420,22,23,-1
0,Yes. /,40,6,1,5,-1
0,those problems used to be  when I used a credit card --,8,200,18,16,-1
1,{C and } the other one's four  /,8,805,39,9,-1
1,"It is, {D you know, } an even back  then,  /",35,626,1,27,-1
0,-- in the quilt.  /,42,267,1,48,-1
1,{C and } --,8,669,11,58,-1
0,"When I was listening to N P R, the National  Public Radio, - /",8,592,17,60,-1
1,"{C so } <laughter>, -/",32,576,63,41,-1
0,-- engineer?  /,42,733,15,18,-1
0,"{F Uh, } had about three kids then I think,  /",8,939,50,44,-1
1,{C And } we had about ten people sharing this  printer  /,8,516,28,34,-1
1,{C but } men have to be convinced of that. /,35,251,59,67,-1
1,Yeah.  /,6,790,46,1,-1
0,"<Breathing> {D Well, } do you mind if I ask what it's worth down there,  /",34,974,49,27,-1
1,"I can't imagine it would stay fresh long enough to, - /",35,457,53,67,-1
0,"[ it's a, + they're all ] cloth.  /",8,6,1,5,-1
1,"{F Oh, } you can? /",16,1067,9,5,-1
1,"{E I mean, } it's to easy to get a quorum -- /",35,999,61,17,-1
0,what they call trick skis. - /,8,280,7,43,-1
0,"it's right there,  /",8,969,31,27,-1
1,"Yeah,  /",29,603,63,60,-1
